client_uuid,loan_uuid,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due,segment
987,1061,2020-11-25,9952653,2022-05-25,2022-05-25,5466084.52,0,STANDARD
56,1062,2020-01-31,1010392,2024-01-31,2024-01-31,388060.89,50,
1591,1063,2019-04-10,6314791,2024-04-10,2024-04-10,4858271.8,145,High Risk
1523,1064,2023-05-01,568236,2028-05-01,2028-05-01,319371.86,115,High Risk
1786,1065,2021-07-16,663903,2026-07-16,2026-07-16,159689.62,0,Prime
1317,1066,2021-01-21,922834,2024-01-21,2024-01-21,459095.11,0,Prime
173,1067,2023-11-01,174620,2027-11-01,2027-11-01,35981.48,0,Prime
1183,1068,2022-08-18,527694,2027-08-18,2027-08-18,198127.43,0,N/A
1067,1069,2023-01-26,1888724,2025-01-26,2025-01-26,1116189.43,0,Standard
7,1070,2019-07-24,4742411,2023-07-24,2023-07-24,4278440.86,0,Standard
603,1071,2019-12-28,710878,2023-12-28,2023-12-28,629014.88,0,Standard
742,1072,2020-07-23,1372833,2023-07-23,2023-07-23,451300.24,93,
1794,1073,2020-09-21,487612,2024-09-21,2024-09-21,312660.5,35,prime
1383,1074,2019-04-04,262607,2023-04-04,2023-04-04,260629.88,0,prime
563,1075,2021-05-28,384250,2023-02-26,2022-11-28,177326.09,0,high risk 
1279,1076,2019-07-05,9830314,2021-07-05,2021-07-05,3187379.12,0,prime
1041,1077,2022-10-30,4019406,2023-10-30,2023-10-30,1692489,136,High Risk
540,1078,2023-10-31,14088313,2025-04-30,2025-04-30,7304877.76,0,Standard
1712,1079,2021-05-23,95272,2024-05-23,2024-05-23,32438.47,0,Prime
806,1080,2022-01-05,220774,2023-07-05,2023-07-05,180468.4,0,Standard
1753,1081,2023-12-27,107143,2028-12-27,2028-12-27,61899.46,0,Unknown
427,1082,2021-07-09,582595,2024-10-07,2024-07-09,469619.46,0,prime
836,1083,2022-07-27,763030,2027-07-27,2027-07-27,653534.85,0,
1744,1084,2022-01-02,693070,2024-01-02,2024-01-02,593570.8,0,Standard
1329,1085,2019-07-08,7584545,2021-01-08,2021-01-08,2282108.29,0,Prime
1763,1086,2021-05-15,830667,2025-05-15,2025-05-15,617289.6,0,Standard
237,1087,2020-08-12,2038609,2021-08-12,2021-08-12,1785669.91,271,High Risk
1088,1088,2021-10-17,677493,2023-04-17,2023-04-17,153095.93,18, subprime
1393,1089,2023-09-04,8760510,2026-09-04,2026-09-04,7199297.09,0,Standard
1855,1090,2022-11-14,12224669,2028-02-12,2027-11-14,6153187.17,258,high risk 
1651,1091,2021-12-14,358733,2025-03-14,2024-12-14,151923.15,0,
536,1092,2020-12-08,9964190,2022-12-08,2022-12-08,3538483.67,253,High Risk
1420,1093,2021-08-30,692459,2026-08-30,2026-08-30,346835.51,19,Standard
1710,1094,2019-05-09,787217,2023-05-09,2023-05-09,561308.15,13,Standard
1408,1095,2020-08-11,9254875,2024-08-11,2024-08-11,5953030.01,0, subprime
291,1096,2020-08-10,322431,2023-08-10,2023-08-10,162223.7,238,High Risk
769,1097,2020-10-02,9938643,2025-10-02,2025-10-02,5320358.55,0,Standard
221,1098,2023-03-11,439603,2025-03-11,2025-03-11,204790.4,0,Prime
641,1099,2023-06-23,10138665,2028-06-23,2028-06-23,3278928.51,0,N/A
62,1100,2022-09-28,9991800,2025-09-28,2025-09-28,8272735.48,0,Standard
52,1101,2019-01-26,14826005,2022-01-26,2022-01-26,13859836.19,0,Unknown
1540,1102,2023-12-04,343379,2027-12-04,2027-12-04,286763.77,109,High Risk
49,1103,2023-08-19,66290,2024-11-17,2024-08-19,27308.14,0,Prime
627,1104,2019-08-25,1802153,2022-08-25,2022-08-25,731450.09,65,N/A
1024,1105,2020-03-18,393375,2023-03-18,2023-03-18,212945.08,4,Standard
67,1106,2022-10-21,8942260,2024-04-21,2024-04-21,4440878.84,0,N/A
708,1107,2020-04-11,855880,2022-04-11,2022-04-11,581863.23,0,Standard
18,1108,2021-09-23,4103273,2024-09-23,2024-09-23,2543762.66,0,Standard
1725,1109,2023-09-22,463080,2028-09-22,2028-09-22,348136.94,0,N/A
1766,1110,2023-03-13,2516247,2025-03-13,2025-03-13,1812652.66,0,Standard
1956,1111,2023-03-12,931257,2024-06-10,2024-03-12,465875.72,135,High Risk
400,1112,2021-03-22,3135885,2022-09-22,2022-09-22,1176743.56,0,Prime
137,1113,2020-10-20,190678,2021-10-20,2021-10-20,64490.02,3,Standard
546,1114,2022-05-12,1376939,2027-08-10,2027-05-12,1008967.4,2,Standard
7,1115,2021-08-03,3884355,2025-08-03,2025-08-03,3867547.15,0,Standard
1703,1116,2021-03-25,188885,2022-03-25,2022-03-25,111444.27,0,Standard
953,1117,2022-09-24,170724,2023-09-24,2023-09-24,114555.88,166,N/A
295,1118,2022-09-16,41063,2024-09-16,2024-09-16,29754.09,120,High Risk
243,1119,2022-08-16,3646297,2025-08-16,2025-08-16,1998257.23,116,high risk 
338,1120,2023-01-07,659897,2027-04-07,2027-01-07,652460.28,0,Unknown
1388,1121,2023-06-06,4625392,2028-06-06,2028-06-06,1692587.16,0,Unknown
1075,1122,2022-08-02,620167,2025-08-02,2025-08-02,531350.24,0,Standard
46,1123,2021-09-03,1658206,2024-09-03,2024-09-03,1577425.17,0,Standard
1834,1124,2022-03-19,93706,2027-06-17,2027-03-19,52318.04,281,High Risk
117,1125,2020-04-28,407617,2023-04-28,2023-04-28,200828.96,0,Prime
1687,1126,2022-03-25,829226,2023-03-25,2023-03-25,410500.63,0,Prime
1105,1127,2023-05-16,470792,2024-05-16,2024-05-16,438989.53,56,Subprime
1018,1128,2022-01-06,286656,2023-07-06,2023-07-06,123983.25,44,STANDARD
803,1129,2021-02-12,824656,2025-02-12,2025-02-12,409642.11,0,Prime
787,1130,2020-11-28,209393,2025-11-28,2025-11-28,68120.94,152, subprime
1460,1131,2020-04-09,2016983,2025-04-09,2025-04-09,1094458.46,10,Standard
42,1132,2019-12-27,125327,2024-12-27,2024-12-27,82069.39,0,N/A
1961,1133,2021-06-23,150528,2022-12-23,2022-12-23,50546.54,0,Unknown
40,1134,2023-09-23,513555,2024-09-23,2024-09-23,229190.03,0,Prime
633,1135,2020-08-14,39943,2022-02-14,2022-02-14,39219.84,0,Standard
294,1136,2019-09-14,519272,2021-09-14,2021-09-14,191979.24,0,N/A
1981,1137,2021-01-25,422442,2025-01-25,2025-01-25,302670.39,72,Subprime
657,1138,2023-09-09,2686770,2025-09-09,2025-09-09,2449119.52,0,STANDARD
1873,1139,2019-06-08,168020,2024-06-08,2024-06-08,52680.07,0,Prime
1732,1140,2021-05-06,645098,2023-05-06,2023-05-06,528234.13,0,Standard
1127,1141,2023-05-25,222230,2024-11-25,2024-11-25,220495.95,0,Standard
1702,1142,2022-08-02,879524,2024-02-02,2024-02-02,399590.51,105,High Risk
153,1143,2022-07-01,335230,2024-09-29,2024-07-01,260005.74,0,Standard
1522,1144,2019-11-22,16108372,2021-11-22,2021-11-22,3795635.46,0,Prime
1800,1145,2020-01-26,12241357,2022-01-26,2022-01-26,7038458.41,0,Standard
13,1146,2020-07-24,525615,2022-10-22,2022-07-24,110396.97,64,Subprime
45,1147,2019-04-25,334995,2021-04-25,2021-04-25,260449.35,21,Unknown
1716,1148,2019-04-25,165682,2022-04-25,2022-04-25,140286.77,0,Standard
225,1149,2020-10-31,12524495,2021-10-31,2021-10-31,10493282.58,0,prime
24,1150,2020-09-19,506803,2021-09-19,2021-09-19,259694.67,0,prime
344,1151,2019-03-17,571755,2022-03-17,2022-03-17,375646.1,0,Standard
1198,1152,2019-09-13,9147011,2021-09-13,2021-09-13,3569668.62,0,
1716,1153,2019-10-08,123897,2023-10-08,2023-10-08,35358.35,143,High Risk
588,1154,2021-09-23,3819937,2023-03-23,2023-03-23,929636.7,0,Prime
155,1155,2020-06-15,674763,2022-09-13,2022-06-15,644544.98,0,Standard
145,1156,2019-12-17,16837421,2021-12-17,2021-12-17,7472068.39,0,Prime
1245,1157,2023-04-13,8963629,2028-04-13,2028-04-13,8948002.11,0,high risk 
1529,1158,2023-11-19,464822,2024-11-19,2024-11-19,235811.15,0,Standard
1358,1159,2020-04-25,1614982,2024-04-25,2024-04-25,671935.4,88,Subprime
1879,1160,2020-10-13,17541809,2022-07-12,2022-04-13,13371020.45,0,STANDARD
1597,1161,2020-11-18,3245804,2022-11-18,2022-11-18,1799624.69,0,Standard
1997,1162,2022-04-27,234847,2024-07-26,2024-04-27,163950.68,0,Standard
92,1163,2023-03-15,1002227,2027-03-15,2027-03-15,294899.48,0,Prime
867,1164,2019-04-10,723051,2022-04-10,2022-04-10,468889.03,0,Standard
689,1165,2022-12-19,327946,2024-06-19,2024-06-19,115301.65,222,High Risk
1571,1166,2020-12-15,39994,2021-12-15,2021-12-15,29241.32,0,Standard
720,1167,2023-12-01,313396,2029-03-01,2028-12-01,136650.77,164,High Risk
1083,1168,2022-06-29,172084,2024-06-29,2024-06-29,140393.08,0,Unknown
968,1169,2020-11-07,126510,2022-05-07,2022-05-07,116300.8,0,Unknown
1826,1170,2019-06-06,567633,2020-12-06,2020-12-06,212118.09,0,Prime
648,1171,2023-03-21,188893,2027-03-21,2027-03-21,123532.32,0, subprime
1952,1172,2019-11-26,347684,2024-11-26,2024-11-26,146075.46,0,Prime
306,1173,2023-07-14,60379,2027-07-14,2027-07-14,57300.67,0,Standard
235,1174,2021-11-20,80175,2025-02-18,2024-11-20,34914.9,0,Prime
354,1175,2021-01-11,439936,2023-04-11,2023-01-11,361289.42,300,N/A
1587,1176,2019-10-17,10325407,2020-10-17,2020-10-17,8882986.55,0,prime
705,1177,2019-11-22,2520700,2021-11-22,2021-11-22,2148733.28,0, subprime
994,1178,2022-08-30,608328,2024-11-28,2024-08-30,257774.87,0,Prime
1994,1179,2020-03-23,192440,2022-03-23,2022-03-23,100872.48,42,Subprime
1867,1180,2021-06-23,9674853,2022-09-21,2022-06-23,9154368.34,248,
1497,1181,2023-01-27,704827,2026-01-27,2026-01-27,361305.83,0,Standard
1237,1182,2019-12-03,4331126,2022-12-03,2022-12-03,1447565.09,0,Prime
1465,1183,2019-07-24,987056,2020-07-24,2020-07-24,558311.29,0,Standard
1964,1184,2020-09-17,416887,2023-09-17,2023-09-17,285528.99,0, subprime
925,1185,2020-04-12,49565,2022-04-12,2022-04-12,18868.38,305,Unknown
399,1186,2020-06-29,272267,2024-06-29,2024-06-29,219622.96,0,Standard
722,1187,2022-11-03,2873435,2023-11-03,2023-11-03,936862.18,77,Subprime
999,1188,2021-11-24,115193,2023-02-22,2022-11-24,57968.44,0,Standard
1067,1189,2022-12-15,3684055,2023-12-15,2023-12-15,1751157.3,0,
1171,1190,2023-08-14,120774,2026-11-12,2026-08-14,79631.17,153, subprime
994,1191,2021-12-31,663550,2025-12-31,2025-12-31,362875.94,0,STANDARD
566,1192,2022-06-10,15803535,2024-06-10,2024-06-10,13361325.17,0,N/A
978,1193,2020-08-27,10185950,2022-02-27,2022-02-27,2860977.38,59,Subprime
1309,1194,2021-12-09,6907085,2024-12-09,2024-12-09,6431869,37,Subprime
895,1195,2022-05-04,331442,2024-02-02,2023-11-04,297925.15,28,Standard
991,1196,2021-11-23,1524913,2023-11-23,2023-11-23,532280.16,88,Subprime
720,1197,2023-06-11,245340,2026-06-11,2026-06-11,214793.15,0,Standard
349,1198,2022-10-31,616891,2025-01-29,2024-10-31,292859.42,335,STANDARD
382,1199,2021-05-25,228189,2025-05-25,2025-05-25,113900.68,0,Prime
776,1200,2020-02-02,11521425,2021-02-02,2021-02-02,8530220.75,329,STANDARD
5,1201,2022-01-20,3884518,2025-01-20,2025-01-20,872390.18,0,
1483,1202,2023-10-24,213870,2026-10-24,2026-10-24,105192.36,0,Prime
1571,1203,2019-12-05,79760,2021-06-05,2021-06-05,23847.2,0,Prime
1228,1204,2019-06-13,8997531,2020-06-13,2020-06-13,7888138.61,0,Standard
1060,1205,2023-08-02,104413,2027-08-02,2027-08-02,65881.52,31,Subprime
1611,1206,2022-08-27,857439,2027-08-27,2027-08-27,624062.36,293,Unknown
1878,1207,2023-01-29,925964,2027-01-29,2027-01-29,662275.15,0,Standard
1647,1208,2023-07-13,87761,2024-07-13,2024-07-13,63640.74,0,Standard
1083,1209,2022-05-29,157683,2024-08-27,2024-05-29,115303.52,0,STANDARD
1127,1210,2023-07-28,882850,2027-07-28,2027-07-28,856308.7,0,Standard
432,1211,2023-05-02,61516,2024-11-02,2024-11-02,50791.36,0,Standard
1439,1212,2020-12-22,1457975,2022-12-22,2022-12-22,1431557.74,0,Standard
993,1213,2023-09-19,4100453,2025-12-18,2025-09-19,2008787.24,0,Prime
483,1214,2023-04-02,660668,2028-04-02,2028-04-02,635341.17,99,High Risk
1915,1215,2023-08-09,1408952,2024-08-09,2024-08-09,445048.2,0,Prime
1252,1216,2021-10-18,5105089,2023-01-16,2022-10-18,1724100.84,173,STANDARD
1972,1217,2023-10-27,3946917,2028-10-27,2028-10-27,1097370.02,0,Prime
847,1218,2020-07-30,151329,2022-01-30,2022-01-30,37687.8,0,Prime
45,1219,2023-09-08,405720,2028-12-07,2028-09-08,363678.77,35,Subprime
416,1220,2022-02-16,372828,2023-02-16,2023-02-16,324284.3,267,High Risk
1146,1221,2023-05-04,144149,2026-05-04,2026-05-04,84407.95,0,Standard
1625,1222,2023-05-30,896584,2025-05-30,2025-05-30,525491.73,0,Standard
227,1223,2020-11-30,1046010,2025-11-30,2025-11-30,836238.6,0, subprime
1034,1224,2021-04-24,148140,2023-04-24,2023-04-24,74821.47,90,Subprime
816,1225,2021-11-17,1560102,2023-05-17,2023-05-17,1463400.62,0,high risk 
1932,1226,2022-10-03,176402,2024-10-03,2024-10-03,39861.48,0,Prime
1328,1227,2020-01-22,474451,2025-01-22,2025-01-22,228533.26,24,Standard
1589,1228,2020-10-24,5902448,2022-04-24,2022-04-24,5529861.76,53,Unknown
1638,1229,2021-01-30,351042,2024-01-30,2024-01-30,245162.64,7,Standard
1247,1230,2023-09-13,6038938,2025-09-13,2025-09-13,3699069.43,0,Unknown
1637,1231,2023-01-25,75701,2025-01-25,2025-01-25,42010.08,0,high risk 
1359,1232,2020-12-31,14370446,2022-12-31,2022-12-31,8428695.64,0,N/A
1050,1233,2023-09-14,8435159,2027-09-14,2027-09-14,1870843.91,25,N/A
304,1234,2023-04-21,1065819,2027-04-21,2027-04-21,847319.64,0,
656,1235,2022-04-01,2114109,2024-04-01,2024-04-01,2006699.9,0,STANDARD
74,1236,2020-02-25,305291,2025-05-26,2025-02-25,163718.29,0,Standard
584,1237,2023-04-08,222449,2026-07-07,2026-04-08,209588.35,0,Standard
1205,1238,2021-11-20,15988063,2023-11-20,2023-11-20,7798694.99,0,Prime
562,1239,2021-12-27,495122,2024-12-27,2024-12-27,242534.13,0,Prime
567,1240,2021-10-06,5576127,2025-10-06,2025-10-06,4380872.57,65,Subprime
192,1241,2021-01-03,3423045,2026-01-03,2026-01-03,1479609.84,0,Prime
1262,1242,2022-02-22,4376961,2024-02-22,2024-02-22,1698511.49,0,Prime
474,1243,2020-06-08,51933,2023-06-08,2023-06-08,28492.69,0,Standard
154,1244,2020-07-21,224562,2022-01-21,2022-01-21,91957.51,0,Prime
761,1245,2020-11-20,16445,2023-11-20,2023-11-20,4922.9,81,
1610,1246,2022-10-07,3147709,2024-04-07,2024-04-07,2877001.25,0,Standard
738,1247,2023-09-02,184005,2024-09-02,2024-09-02,140026.87,0,high risk 
486,1248,2021-12-21,11520114,2026-12-21,2026-12-21,3099498.22,0,Unknown
1951,1249,2023-07-02,557571,2024-07-02,2024-07-02,415455.23,34,Subprime
1454,1250,2021-08-18,972499,2026-08-18,2026-08-18,688332.86,217,Unknown
167,1251,2021-02-08,4300422,2023-02-08,2023-02-08,4114628.33,0,Unknown
1293,1252,2023-12-16,17332250,2027-12-16,2027-12-16,10613096.03,0,Unknown
1252,1253,2019-12-19,8931758,2021-06-19,2021-06-19,6650905.17,0,Standard
648,1254,2022-03-24,109255,2027-03-24,2027-03-24,34283.35,202,High Risk
1398,1255,2023-07-23,18262784,2025-01-23,2025-01-23,8254801.88,0,Prime
630,1256,2022-02-10,157879,2027-05-11,2027-02-10,123661.8,37,Subprime
1223,1257,2019-10-01,430038,2021-10-01,2021-10-01,244020.79,0,Standard
974,1258,2021-10-18,636767,2024-10-18,2024-10-18,277340.5,128,High Risk
1425,1259,2021-10-30,300928,2023-04-30,2023-04-30,81027.97,22,Standard
1337,1260,2021-04-14,52430,2025-04-14,2025-04-14,23741.3,0,Prime
639,1261,2019-05-06,65111,2020-05-06,2020-05-06,32779.44,0,Standard
409,1262,2023-07-11,305058,2028-10-09,2028-07-11,140878.12,87,
1216,1263,2020-06-23,517105,2021-12-23,2021-12-23,194483,0,Prime
1685,1264,2021-10-07,372559,2022-10-07,2022-10-07,98763.53,0,Prime
1237,1265,2022-01-22,3752563,2027-01-22,2027-01-22,2958520.05,199,High Risk
822,1266,2022-08-20,384940,2023-08-20,2023-08-20,246963.15,0, subprime
1004,1267,2023-04-08,1798373,2025-04-08,2025-04-08,1558872.41,0,STANDARD
145,1268,2019-07-13,6344811,2024-07-13,2024-07-13,6104019.77,0,Unknown
1512,1269,2022-11-13,13925973,2024-05-13,2024-05-13,5208989.05,263,High Risk
1516,1270,2021-03-03,18190693,2022-09-03,2022-09-03,12608725.13,0,Standard
1412,1271,2019-07-11,433654,2023-07-11,2023-07-11,150060.55,0,Prime
1900,1272,2023-05-17,16019490,2025-05-17,2025-05-17,3434329.74,0,N/A
518,1273,2021-07-07,84005,2025-07-07,2025-07-07,34048.95,0,Prime
14,1274,2020-10-27,129950,2023-10-27,2023-10-27,76473.8,0,Standard
222,1275,2023-08-21,262898,2026-11-19,2026-08-21,217426.58,0,prime
857,1276,2022-12-14,4429067,2024-06-14,2024-06-14,3493521.72,0,Standard
1367,1277,2020-07-04,9620002,2022-01-04,2022-01-04,4963948.82,0,Standard
1377,1278,2019-09-13,457480,2021-09-13,2021-09-13,427518.01,134,High Risk
1069,1279,2021-07-12,4610381,2023-07-12,2023-07-12,3001591.96,0, subprime
1859,1280,2021-10-08,316238,2025-10-08,2025-10-08,130863.65,0,high risk 
1109,1281,2019-08-18,13416114,2021-08-18,2021-08-18,3861614.17,0,Prime
843,1282,2020-11-07,136095,2022-05-07,2022-05-07,74348.13,291,Unknown
940,1283,2020-05-03,52471,2021-08-01,2021-05-03,22575.85,0,
1578,1284,2019-02-11,1588643,2022-02-11,2022-02-11,375148.15,0,
1576,1285,2023-12-21,1164368,2028-12-21,2028-12-21,987649.99,0,Standard
1670,1286,2021-08-15,819154,2023-08-15,2023-08-15,504141.76,0,Standard
721,1287,2020-01-31,18691390,2023-01-31,2023-01-31,5526248.98,67,STANDARD
1586,1288,2023-02-11,1138261,2028-02-11,2028-02-11,877486.93,0,Standard
1467,1289,2020-04-15,510559,2023-04-15,2023-04-15,153069.2,0,Prime
1364,1290,2021-04-19,2214116,2024-07-18,2024-04-19,1827646.6,0,Standard
1398,1291,2023-10-31,18864652,2028-10-31,2028-10-31,14465559.24,78,Subprime
790,1292,2022-12-09,71645,2027-03-09,2026-12-09,69417.47,0,Unknown
272,1293,2019-03-18,3748219,2022-03-18,2022-03-18,2423937.2,0,Unknown
1688,1294,2022-11-18,893344,2026-11-18,2026-11-18,221202.33,340,High Risk
1886,1295,2021-03-30,664696,2022-09-30,2022-09-30,187050.49,16,Standard
1867,1296,2019-06-19,11786266,2021-06-19,2021-06-19,6665928.58,0,Standard
1472,1297,2020-03-20,9288731,2021-12-19,2021-09-20,2710439.3,0,Prime
967,1298,2021-06-17,7870347,2026-06-17,2026-06-17,5389613.96,360,Unknown
1282,1299,2019-01-21,3935882,2020-07-21,2020-07-21,2827704.94,0,N/A
306,1300,2020-08-06,81856,2022-02-06,2022-02-06,74691.68,0,Standard
1660,1301,2019-01-11,579753,2020-07-11,2020-07-11,361551.72,0,Standard
15,1302,2021-07-30,1211610,2024-07-30,2024-07-30,618119.37,342,
1017,1303,2022-02-05,6904089,2026-02-05,2026-02-05,6566273.94,163,High Risk
438,1304,2023-05-12,6316283,2024-05-12,2024-05-12,4624468.24,0,Standard
255,1305,2021-08-12,234957,2025-08-12,2025-08-12,52707.18,0,Prime
1628,1306,2023-10-28,5757808,2025-10-28,2025-10-28,4786702,0,Standard
695,1307,2020-04-15,1721619,2023-04-15,2023-04-15,862829.69,0,Standard
209,1308,2020-08-10,180564,2022-02-10,2022-02-10,136648.21,359,High Risk
741,1309,2023-05-01,470077,2026-05-01,2026-05-01,144572.44,0,Prime
341,1310,2019-07-17,2183878,2022-07-17,2022-07-17,1450734.94,0, subprime
1353,1311,2019-12-09,5418686,2022-12-09,2022-12-09,2680143.39,0,Prime
650,1312,2020-07-16,1604512,2023-07-16,2023-07-16,1301805.04,0,Standard
220,1313,2019-11-25,418761,2023-11-25,2023-11-25,226281.46,0,prime
1267,1314,2021-08-01,1882427,2023-08-01,2023-08-01,701376.99,0, subprime
1849,1315,2019-08-07,809310,2021-08-07,2021-08-07,218304.61,0,Prime
1200,1316,2019-03-28,959733,2022-03-28,2022-03-28,850758.73,169,High Risk
1041,1317,2023-11-07,2700516,2027-02-05,2026-11-07,2564623.75,0,N/A
492,1318,2022-10-24,3912674,2023-10-24,2023-10-24,3809137.01,0,Standard
864,1319,2021-03-07,2465433,2022-03-07,2022-03-07,642608.76,0,Prime
796,1320,2021-04-12,916227,2022-10-12,2022-10-12,761196.16,0,Standard
553,1321,2019-03-11,16956539,2020-03-11,2020-03-11,12462515.01,0,prime
680,1322,2020-07-22,1451295,2024-07-22,2024-07-22,1282767.89,202,High Risk
163,1323,2021-11-18,442721,2026-11-18,2026-11-18,405685.75,0,Standard
93,1324,2020-08-21,13921387,2022-02-21,2022-02-21,13895553.03,124,Unknown
543,1325,2020-09-02,956795,2022-09-02,2022-09-02,495395.17,0,Unknown
395,1326,2021-02-19,1980833,2025-05-20,2025-02-19,1041600.95,326,High Risk
494,1327,2019-03-09,663360,2024-03-09,2024-03-09,178379.8,11,Standard
1741,1328,2020-05-28,4663657,2021-05-28,2021-05-28,4555005.54,339,High Risk
925,1329,2021-06-16,70955,2024-06-16,2024-06-16,33012.53,169,Unknown
901,1330,2021-11-25,3325250,2023-08-23,2023-05-25,3165607.02,56,Unknown
377,1331,2020-11-22,2298454,2022-02-20,2021-11-22,1238536.35,0,STANDARD
1250,1332,2023-05-23,6936738,2024-05-23,2024-05-23,3513139.22,127,STANDARD
229,1333,2022-12-17,578739,2024-06-17,2024-06-17,515634.01,0,
1852,1334,2022-05-01,76653,2023-05-01,2023-05-01,73082.84,0,Standard
1761,1335,2023-02-26,445054,2024-02-26,2024-02-26,184901.68,0,Prime
1658,1336,2020-05-19,2339623,2022-02-17,2021-11-19,2041410.64,0,Standard
612,1337,2020-08-12,247417,2024-08-12,2024-08-12,184937.49,208,High Risk
1655,1338,2019-08-06,859334,2021-08-06,2021-08-06,620914.36,179, subprime
1295,1339,2023-10-08,699674,2024-10-08,2024-10-08,164864.44,0,Prime
367,1340,2021-12-02,942080,2025-12-02,2025-12-02,906003.51,91,High Risk
1036,1341,2022-01-08,16023057,2023-07-08,2023-07-08,9508842.83,0,Standard
1270,1342,2021-09-25,2609166,2022-09-25,2022-09-25,2207694.75,0,Standard
8,1343,2020-10-05,6999934,2025-10-05,2025-10-05,4629586.83,77,Subprime
1385,1344,2019-06-22,19298518,2020-12-22,2020-12-22,11989584.21,0,Standard
373,1345,2021-06-30,623692,2025-06-30,2025-06-30,136750.31,0,Prime
19,1346,2021-08-22,356141,2023-08-22,2023-08-22,130884.07,73,Subprime
582,1347,2022-05-18,614535,2023-05-18,2023-05-18,552105.81,0,Standard
564,1348,2023-06-30,250272,2027-06-30,2027-06-30,134725.11,0,prime
1700,1349,2021-08-14,1391310,2026-08-14,2026-08-14,1170131.28,0,Standard
18,1350,2021-12-12,1149851,2023-09-10,2023-06-12,326436.82,0,Prime
75,1351,2021-08-04,14754718,2024-08-04,2024-08-04,2994204.3,0,Prime
1222,1352,2019-03-16,592423,2020-09-16,2020-09-16,438479.46,0,Standard
1623,1353,2020-02-09,7214882,2025-02-09,2025-02-09,2030894.61,331,High Risk
1328,1354,2023-12-04,613854,2028-03-03,2027-12-04,478978.97,0,Standard
681,1355,2021-07-18,702701,2025-07-18,2025-07-18,696995.2,0,Standard
82,1356,2019-05-06,58454,2023-05-06,2023-05-06,24915.46,0,N/A
249,1357,2022-03-24,657167,2027-03-24,2027-03-24,454313.41,186,High Risk
1394,1358,2022-01-11,1361107,2023-01-11,2023-01-11,1168270.2,0,Standard
1738,1359,2021-02-05,11848561,2024-02-05,2024-02-05,6668939.17,24,Standard
242,1360,2021-07-22,3620724,2026-07-22,2026-07-22,3408323.06,0,Standard
524,1361,2023-09-08,7530762,2027-09-08,2027-09-08,1625908.88,0,prime
1007,1362,2021-05-23,492800,2026-05-23,2026-05-23,239076.52,0,N/A
238,1363,2020-12-05,350438,2021-12-05,2021-12-05,254520.11,0,Unknown
149,1364,2019-08-17,69215,2024-08-17,2024-08-17,23177.6,0,
1980,1365,2023-08-01,93956,2027-08-01,2027-08-01,77983.51,0,Standard
785,1366,2023-02-09,74345,2025-02-09,2025-02-09,58801.22,0,Standard
487,1367,2022-11-13,139586,2025-02-11,2024-11-13,80438.67,182,High Risk
1517,1368,2023-10-25,12504974,2026-10-25,2026-10-25,3133891.94,88,Subprime
1290,1369,2020-02-05,986252,2022-02-05,2022-02-05,353773,0,Prime
1346,1370,2020-05-17,10117044,2021-05-17,2021-05-17,8969960.48,0,Standard
1663,1371,2020-02-23,226607,2025-02-23,2025-02-23,166020.63,145,High Risk
704,1372,2020-01-20,865969,2024-01-20,2024-01-20,746608.49,0,prime
228,1373,2020-01-06,926678,2024-01-06,2024-01-06,900122.56,0,N/A
876,1374,2021-12-25,597955,2023-12-25,2023-12-25,273640.76,0,Prime
1116,1375,2020-07-14,3113882,2023-07-14,2023-07-14,2764959.7,89, subprime
238,1376,2019-07-29,951015,2021-01-29,2021-01-29,937595.92,0,Standard
1658,1377,2023-12-14,3798838,2026-12-14,2026-12-14,2935670.99,0,Standard
1981,1378,2023-02-09,864673,2024-11-07,2024-08-09,417519.77,0,Prime
706,1379,2020-12-18,8378007,2021-12-18,2021-12-18,5545809.25,0,Standard
1927,1380,2021-05-19,3873764,2024-05-19,2024-05-19,2129473.71,0,Standard
1703,1381,2022-12-16,465709,2024-06-16,2024-06-16,128984.01,158, subprime
840,1382,2019-12-23,925530,2022-12-23,2022-12-23,772642.6,68, subprime
1376,1383,2020-08-03,688793,2022-05-04,2022-02-03,195593.17,0,Prime
667,1384,2023-08-31,692672,2024-08-31,2024-08-31,286547.44,0,
1746,1385,2019-02-06,127379,2021-02-06,2021-02-06,81553.46,0,STANDARD
1708,1386,2020-07-28,284341,2023-07-28,2023-07-28,163442.94,0,prime
1765,1387,2023-04-24,721206,2024-10-24,2024-10-24,566371.41,18,STANDARD
1872,1388,2023-04-24,606642,2028-04-24,2028-04-24,135617.97,0,Prime
1883,1389,2020-12-30,597965,2022-12-30,2022-12-30,392339.83,0,Standard
87,1390,2023-03-10,474597,2025-03-10,2025-03-10,215151.75,0,Prime
1681,1391,2020-03-28,229946,2021-12-27,2021-09-28,53030.86,97,High Risk
211,1392,2021-05-04,157230,2023-05-04,2023-05-04,125025.57,0,
1510,1393,2023-07-30,317828,2025-01-30,2025-01-30,93781.02,0,Prime
76,1394,2023-08-29,98402,2027-08-29,2027-08-29,71389.71,0,Standard
446,1395,2021-01-03,117153,2024-01-03,2024-01-03,110037.82,0,Standard
1355,1396,2023-09-02,1698989,2028-09-02,2028-09-02,804583.33,0,N/A
