client_uuid,loan_uuid,loan_type,contract_date,initial_loan_amount,loan_end_date,original_loan_end_date,current_principal_outstanding,days_past_due
NNBMC3R,DUZWRO6,Trade Financing,2019-04-06,248421411,2021/03-26,2021/03/26,60323.03,84
5I6C05I,4VJRE1C,Trade Financing,2019/04-24,243237277,2021/08/21,2021/04/13,23045.19,0
ZPLP70Y,CYK5IYT,Business Line of Credit,2019/04/14,212247713,2019-10/11,2019-10-11,12835.65,2
85G64LK,WIYEZO9,Trade Financing,2019/04-20,270794518,2024/03/17,2024-03/24,67330.48,68
Y7C28JA,HRI7GNQ,Trade Financing,2019-04/29,99002615,2019/10-26,2019/10-26,27220.74,84
FO496GS,G2WAJ6Y,Term Loan,2019-05-12,176102203,2020-03/02,2019-11-08,19354.43,10
PH5R63M,PMWI2TC,Business Line of Credit,2019/05/27,165655174,2022/05/11,2022-05-11,16782.38,3
5YG34LI,CVUSZWE,Business Line of Credit,2019/04-18,215258042,2022-04/02,2022/04/02,6611.37,9
TODPL8Z,KPX0RW9,Equipment Financing,2019/06/19,284577698,2021-09/07,2021-06/08,11189.86,3
VGU8JLW,9VOFCW7,Business Line of Credit,2019/04/07,242229965,2023-03-17,2023-03/17,15678.18,5
ZIE8ACI,MK8VP15,Working Capital,2019-05-30,186009512,2020/09-18,2020-05/24,18374.85,35
A16DA6J,JZ0PMG4,Trade Financing,2019-05-02,227306822,2020-04/26,2020/04-26,54574.37,68
X8GR0ZO,EZ57NI2,Business Line of Credit,2019/04/24,107277498,2020-10/06,2020/10-15,14845.0,18
XBF6C96,5BLXFKE,Working Capital,2019-05-11,184232000,2021-04/30,2021/04/30,23016.88,1
2T96VHX,MSDN1AL,Equipment Financing,2019/04-26,294774350,2020-03/20,2020-04/20,31995.94,83
RT5V8D1,ZIHJL66,Term Loan,2019-05/27,258909064,2021-05/16,2021-05-16,187354.14,83
FN1YWQ4,GTWGFUQ,Working Capital,2019-05-12,178283469,2023-11/14,2023/04/21,23729.88,9
NNBMC3R,QEB2EW8,Business Line of Credit,2019-04-13,265064860,2024/09/11,2024-03-17,20806.17,3
GZOK3BZ,WKR74EF,Working Capital,2019-06/03,171259643,2020/08/23,2020/05-28,12857.31,28
HE2JIVJ,ICCI59N,Equipment Financing,2019/05/09,155064717,2020-10-30,2020/10-30,8821.1,3
SYCXCLH,TXE0WWK,Term Loan,2019-05/03,289714576,2019/10-30,2019-10/30,30747.74,11
RP1HRS5,1NGK64G,Business Line of Credit,2019/04-20,298496845,2019-10-17,2019-10-17,211821.26,87
LY4J7CH,6ULKEIP,Trade Financing,2019/04-24,250632523,2020/11-03,2021-04/13,202579.37,62
XBJ8OB2,O2YR8RW,Working Capital,2019-04/27,361456755,2020/04-21,2020/04/21,111041.58,166
AZZPUWH,7GQ6MS4,Working Capital,2019-04/22,181502723,2022-04-06,2022-04/06,24165.67,1
8XCBOVD,GZ8D4KB,Trade Financing,2019/05-24,68627387,2020/05-18,2020/05/18,9237.92,1
X00USWO,KGLTCD9,Business Line of Credit,2019-06/07,252824567,2020/08-24,2020/06/01,62486.36,61
QF2K466,2TWDYKH,Working Capital,2019/05/24,91343727,2021-09-05,2021/05-13,10684.92,79
CL2QGMB,3YC53JP,Term Loan,2019/04-24,214554997,2021/04-13,2021-04-13,6617.04,20
L36RNVU,IJJVSEF,Business Line of Credit,2019/04/22,271650111,2021-05/08,2020/10/13,11156.76,21
E32WAED,00FSR91,Term Loan,2019-06-15,203065835,2020/07/20,2019/12-12,52828.56,31
FIXFA16,EPFI33Q,Term Loan,2019-05-01,194320873,2022/04/15,2022/04-15,19421.83,0
YT0FFIU,05GWCEB,Working Capital,2019/06-11,190468215,2020/02-17,2020/06-05,18788.58,1
A2RP70D,T7Q7WNX,Term Loan,2019-04/29,143447051,2022/04/13,2022/04-13,14949.8,10
E9S3149,GFACWWI,Equipment Financing,2019-05-17,248635309,2020/02-28,2019-11-13,37894.44,52
UU0J8N2,CSMZWSK,Business Line of Credit,2019-06-17,239308345,2019-12-14,2019-12/14,159335.66,74
96U3UPI,MFE0Z7L,Term Loan,2019/06-27,269770625,2021/10-13,2021-06-16,25082.53,20
I6YNI0S,9OIWSC6,Equipment Financing,2019/05-15,222570382,2020-11-05,2020-11/05,23830.1,5
12TBA9R,UEFCQFY,Term Loan,2019-04-04,106950847,2020-03-29,2020/03-29,7635.03,17
W39OZG3,FE7L5HQ,Equipment Financing,2019-06/03,189089483,2022-05/18,2022-05-18,10195.04,1
RG3N30Q,N675X30,Business Line of Credit,2019/06-26,262897688,2020-06/20,2020-06-20,29606.13,0
R72J7HI,32NZVHZ,Business Line of Credit,2019/04/08,101023043,2020-10/03,2021-03/28,14165.13,26
D7C1LJM,VHUI28P,Trade Financing,2019-05-11,89691403,2020-05/05,2020/05/05,5117.73,10
45EY43W,JFD95QF,Equipment Financing,2019-06/18,206081968,2020-11-02,2020/06/12,24280.13,6
N0ETRMN,HL0JHJL,Trade Financing,2019-05-07,268718543,2019/11/03,2019/11-03,21789.79,13
LSR1535,566KLOF,Trade Financing,2019-06/06,94345766,2022/02-26,2021-05/26,7219.61,9
TUCNU0G,9NFZD8C,Working Capital,2019-06-19,205632615,2021/06/08,2021/06/08,3638.06,0
YI0JZ0V,9XRNALI,Term Loan,2019/05-28,259380801,2023/02/18,2022-05/12,11431.92,9
GZP5LHH,1GEQ059,Trade Financing,2019/06-07,277884669,2020/12-31,2020-11/28,15954.68,6
X5Q2N3Z,HW50TX6,Working Capital,2019-06-07,73312425,2020/06/01,2020-06/01,8297.48,11
OCOPWSJ,LLWMHVT,Term Loan,2019/05-18,211071272,2020-05/12,2020/05/12,28852.49,11
03CJ5EI,4IECBBY,Equipment Financing,2019/04/01,121296132,2019/10/30,2020/03-26,2400.47,18
70F0TUW,0YS9W48,Equipment Financing,2019-04-27,109977758,2020-10/18,2020/10-18,8071.32,14
Q87A9CA,IQJ333F,Equipment Financing,2019-05/19,73212109,2020/01-15,2020-05/13,1943.53,5
MO1MEYY,W3Z3F1K,Equipment Financing,2019/04/10,127436177,2021/09-16,2020-10-01,8989.86,9
JML0HE9,F3STRQ5,Working Capital,2019/06-03,162379544,2021/05/23,2021-05/23,31686.29,61
M68EQVN,861UX1X,Working Capital,2019/06/03,241966323,2019-11-30,2019-11-30,29304.93,5
AU6SBUP,YSCIIAQ,Term Loan,2019/05-15,234522162,2020-05/09,2020/05/09,10647.62,2
XLWSN1T,XCDU2CI,Business Line of Credit,2019-06/12,69924872,2020/08-08,2020/06/06,5053.05,8
0DXM4NT,27E2CFQ,Equipment Financing,2019/06/17,197054295,2022/06-01,2022-06/01,19782.19,47
XBFBQGC,08DB7NM,Equipment Financing,2019-04/12,285332975,2020/04-06,2020/04-06,28743.09,29
ETJV33V,QN5LRUC,Term Loan,2019/05/10,105815859,2020-05-04,2020/05-04,5204.52,6
MO1MEYY,BE6LCO3,Term Loan,2019-06-21,130405882,2021-05-20,2020-12-12,16779.61,10
W39OZG3,5WRA9JX,Working Capital,2019-06-18,221338394,2021/08/16,2021/06-07,61106.81,89
JCT07CV,9HJ1WE5,Business Line of Credit,2019-04/29,249689878,2020-07-01,2020-04-23,12989.28,10
4K3OO52,PETERES,Equipment Financing,2019/04-24,269879232,2022/12/19,2022/04-08,25896.05,44
1LO1UPW,0HAJ09Z,Trade Financing,2019/05/10,106164066,2019-11/06,2019-11-06,10110.71,19
JQ8QOBM,ZRPIWPN,Business Line of Credit,2019/05-28,358300511,2020-11/18,2020/11-18,268354.08,78
ZZVXH5G,OM4JIFS,Business Line of Credit,2019-05-29,259754709,2021-05/18,2021/05-18,63222.88,61
FG1U0I2,V4PQEDM,Term Loan,2019-04/25,102251715,2021/04/09,2020-10-16,11736.81,5
Z2LWSX3,XWY1FZ1,Business Line of Credit,2019-05/22,185027901,2020/01/04,2020/05-16,15258.73,1
6O5B5US,M6JOF5W,Trade Financing,2019/04-23,169565038,2020-06/12,2020/10-14,17276.83,7
V796RVY,2VSPSRI,Equipment Financing,2019-04-07,90783280,2020-09-28,2020/09-28,10902.66,5
IGWZ81W,XKN0X0V,Equipment Financing,2019/04-02,228243664,2019/10/19,2020/03-27,12965.08,2
OFAGDAB,RFTEFUM,Term Loan,2019/04-22,244400453,2021-09/25,2020/10-13,48594.66,48
ZDMKXVZ,UF54WKF,Working Capital,2019-05/01,287161060,2021-10-25,2022/04/15,24538.49,6
1MC2DQP,MWYQKV6,Working Capital,2019/06-15,257022115,2021/04-26,2021-06-04,4015.07,12
IGWZ81W,WI5XGXQ,Working Capital,2019/04-11,237171019,2020/10/02,2020-10-02,33753.5,2
MRPS36G,M13EA4S,Equipment Financing,2019/05-01,177888006,2020/04/25,2020/04/25,16244.64,11
IF2VCB1,J20YO3Y,Business Line of Credit,2019-04-29,264705047,2022/04/13,2022-04/13,22314.75,9
B9I1GNR,D694MDS,Term Loan,2019-06-20,256491515,2019/12-17,2019-12-17,217284.9,117
DIYWDEZ,MC0IA0U,Term Loan,2019-06/05,184711198,2021-01/02,2021-05/25,7034.92,5
S51149M,35O8UFM,Equipment Financing,2019/05/01,295763423,2022-04-15,2022-04/15,41347.52,83
0XPZ40Z,GCAJ5DY,Business Line of Credit,2019/06/24,171760398,2020/06/18,2020-06/18,19515.06,6
63UQ0C2,TA3IDQV,Equipment Financing,2019-05-19,164579050,2021-03-17,2020-05/13,10551.94,3
H6OHUCI,ZWGDTK6,Equipment Financing,2019-06-25,107985518,2022/05-19,2022-06-09,21786.98,73
9N151LM,W35EUWA,Term Loan,2019/06/12,215885643,2021/12-09,2022/05-27,15375.74,0
RBDTP15,0948IOH,Business Line of Credit,2019-06/06,225729114,2020-05/31,2020/05/31,181593.62,198
70F0TUW,V4B1GTP,Business Line of Credit,2019-06/16,290602503,2020-10/20,2020/12-07,35809.99,0
7J6HEOH,RB4JR8P,Equipment Financing,2019/05-14,158649588,2020/05-08,2020/05-08,13218.7,2
5P80CT0,8FECJN5,Working Capital,2019-05/19,316126880,2020/05/13,2020-05-13,173018.38,111
YEJWAMZ,3Q34CHI,Trade Financing,2019/06/13,296689487,2020/12/04,2020-12-04,30276.76,19
OQP1UHJ,HVB6EJ6,Working Capital,2019-04-14,214990255,2020-04/08,2020-04-08,58680.97,49
WHJJKIP,FDYVUK1,Equipment Financing,2019-06/15,82776185,2022/09/02,2022-05/30,4260.6,7
UUD11TB,LD00T0A,Working Capital,2019-06/28,203149570,2020/12/19,2020/12/19,9415.99,2
0DXM4NT,94R2K29,Trade Financing,2019-04/19,267988138,2020/06-04,2020/04-13,12088.35,1
V5TBHYK,33M9YDZ,Working Capital,2019-05/21,344994871,2021-08/10,2021/05-10,118655.8,102
UM8XFFZ,HWGZ39K,Term Loan,2019-06/20,175375944,2020/12/11,2020/12/11,12963.12,1
5G6N91O,VNFHLTE,Trade Financing,2019/06-16,218865298,2020-12-07,2020-12/07,18610.46,49
3PMMB5I,VT8SUMF,Equipment Financing,2019/05-25,182659266,2020/05/19,2020/05-19,21667.6,1
D7S44TT,BAQH7KT,Business Line of Credit,2019-05-12,155257060,2020-05-06,2020-05-06,19861.37,8
OCUX5DT,C2X323X,Trade Financing,2019-04/22,105481747,2020/06-23,2019-10/19,14293.52,7
UIMMSG6,7CYMKT4,Equipment Financing,2019-05/28,275386701,2022-04/19,2022-05-12,79356.25,56
V66EU0A,WQKOPQZ,Business Line of Credit,2019-04/28,152669553,2021-04-17,2021/04-17,45589.78,71
2J4M4B2,TA027ZC,Trade Financing,2019-06/05,87623719,2021-05/25,2021/05/25,23737.97,52
4MXSDGR,2KIUU8N,Working Capital,2019-06/01,106386255,2020/05-26,2020/05-26,6206.76,4
2UA75N8,NH3STWN,Term Loan,2019/05/02,131230800,2022/09/07,2022/04-16,18335.62,23
V5TBHYK,PJWBU9O,Business Line of Credit,2019/04/23,243954417,2023-02-28,2022/04/07,97546.79,174
ZG4GDHN,VILS56Z,Working Capital,2019-04-23,267153271,2020/09/09,2020-04/17,31318.95,0
GZP5LHH,PPCB6KG,Term Loan,2019-06/01,240479812,2020/11-22,2020/11-22,37481.95,67
RD5DUHL,1HN705F,Term Loan,2019/05/21,254902200,2021/02-20,2020-11/11,150057.3,217
DKBNHGQ,77TIBJH,Trade Financing,2019/04-07,247253260,2023-03/17,2023-03/17,170275.69,41
U7ZEF55,L4FQBYV,Term Loan,2019-06-27,195466639,2020/06-21,2020/06-21,17907.39,1
U5T46XR,TW5U8XM,Business Line of Credit,2019-06-18,222285184,2022/06-02,2022/06-02,192757.56,53
JUUGPDS,KXI9GHW,Equipment Financing,2019-05-08,253101474,2020-05-02,2020-05/02,24929.54,5
OFAGDAB,ALQIO1M,Term Loan,2019-04/29,239461722,2022/04/13,2022-04/13,14185.84,23
6PKCB3G,OJTPGXQ,Term Loan,2019/04-11,133822453,2020-11-09,2020/04-05,23121.09,56
PTTVFTE,06Z1CLK,Equipment Financing,2019-04-20,191767358,2021/06-10,2021-04-09,33464.82,69
YWB5CUH,629IHAD,Trade Financing,2019/06-20,239400371,2021/06-09,2021-06-09,33634.64,6
U5T46XR,6YUWC0Q,Working Capital,2019/05-28,246885985,2021/05-17,2021-05/17,208553.13,258
FXC70F6,E0N0S8A,Trade Financing,2019/06/11,281891533,2020/12-02,2020/12/02,149833.4,51
2BNWACP,AZPVLIT,Term Loan,2019-04-21,109386636,2021-04/10,2021-04/10,15849.32,1
0YEDOM6,T7ZTVI2,Trade Financing,2019/05/31,238433683,2022/05-15,2022/05/15,117743.38,99
9RTDHZT,UEZKO3V,Working Capital,2019/04/28,171292806,2020-04/22,2020-04-22,20526.91,2
RGZHF3W,5U3IN6W,Trade Financing,2019/05-08,158234227,2022-01-03,2022/04-22,8949.94,11
A1CR752,9GZDXCE,Term Loan,2019-04/03,235574243,2024/10/11,2024-03-07,29042.86,0
S26SMSB,THWLCJI,Equipment Financing,2019-05-16,192433925,2022-02-09,2021/05-05,26554.97,0
UUD11TB,GDCQXKX,Equipment Financing,2019-04/18,290714426,2023/03-28,2023-03-28,17023.14,0
PH5R63M,UP4WWJG,Equipment Financing,2019/06/04,172353178,2020-09/27,2020/05-29,8205.27,0
MUEGS5C,JFHQIQ1,Term Loan,2019/05/28,279215316,2020-04/05,2020/05/22,21574.44,0
A16DA6J,XKD59UF,Working Capital,2019/06/26,166664973,2020-12-17,2020/12/17,12355.42,18
9RTDHZT,0ZW7BI6,Business Line of Credit,2019/06-20,299465191,2020-12-18,2021-06/09,6104.88,0
O83MOVN,C4JQ8C8,Business Line of Credit,2019/04-01,122305932,2019/09-28,2019/09-28,15726.49,6
E32WAED,GN01YBF,Trade Financing,2019/05-21,242866685,2019/11/17,2019-11-17,10205.61,3
X0CLGTO,GMANO5F,Trade Financing,2019/06/11,227412942,2021/08/11,2021/05-31,157535.83,69
GCH81EB,ULCLGYT,Trade Financing,2019-05-26,210528235,2022/05-10,2022-05/10,51456.98,42
U16KA6C,SHNLFCU,Equipment Financing,2019/04/15,223624951,2021-03/20,2021-04-04,73504.18,111
LSXHVVZ,36G7IOP,Trade Financing,2019-06-10,300857189,2020-09-26,2020-06/04,16711.25,13
UVAUTI0,M248AB0,Trade Financing,2019-04-10,177688202,2020-10-01,2020/10-01,2969.72,11
5D7EGY3,EKDFJOA,Equipment Financing,2019/06-11,238488401,2021-05/31,2021/05-31,57594.45,37
W2NGWQ7,38JEFJL,Equipment Financing,2019/06/20,193459476,2023-05/27,2022/06/04,24900.5,13
CK9CVT6,E66X4IO,Term Loan,2019-06/04,164582366,2020-05/29,2020-05-29,22683.29,6
6CVM2F1,2GL58E0,Business Line of Credit,2019-04/20,157800627,2022-04-04,2022/04-04,10728.8,1
83R8GVI,5Y7XZWJ,Business Line of Credit,2019-04/02,113538585,2020-03-27,2020/03/27,3868.93,2
HM839SC,5EU4Y8C,Term Loan,2019/04/30,190156487,2021-04-19,2021/04-19,6080.83,15
95YGS3R,9J1BU16,Trade Financing,2019/05-08,217323240,2021-10/24,2020-10-29,177989.13,133
JWHFPD9,3NX7R9E,Working Capital,2019/04/01,315385697,2019-09/28,2019/09-28,173322.25,171
IZ1IN2E,P7UTH9X,Term Loan,2019-05/19,88291115,2021/05/08,2021-05-08,1568.21,7
BULRAOW,Q5893L9,Term Loan,2019/05/09,151491454,2020/01-06,2019-11-05,17720.43,34
PJOKIR6,NNW748I,Working Capital,2019/06/10,224015440,2021/03/29,2020/12/01,125007.59,209
8Z5NVDV,2Y3EW8T,Equipment Financing,2019/04/05,244926908,2024/05-12,2024-03/09,25722.37,17
01OY1D4,XF32X8R,Equipment Financing,2019-05/08,209747257,2021-08/31,2020-10-29,26595.24,4
BKC6JC7,VD26DOQ,Term Loan,2019/06/09,288902094,2020-08/15,2020/06/03,16991.71,20
JCT07CV,ZCLQYTP,Trade Financing,2019/05/09,216604441,2020-05/03,2020-05-03,13235.75,7
IQB8J7D,KGXM8TW,Business Line of Credit,2019-05-06,134210454,2020-09-21,2020-10/27,17224.54,30
THEB1VI,1DHZK5B,Equipment Financing,2019/06/28,72004163,2022-06-12,2022/06/12,2266.49,0
1LO1UPW,ZUNE450,Business Line of Credit,2019-05-05,224871033,2020-10-26,2020-10/26,13820.4,1
ICIU7FA,J813IGI,Trade Financing,2019-06-13,219271539,2020/10/19,2020/06-07,31102.11,5
5R5Y8K9,1R99C6J,Trade Financing,2019-04/04,122463454,2022-03/19,2022-03/19,22895.97,55
7J6HEOH,HATXX4V,Equipment Financing,2019/05-12,167799132,2021/08/13,2021/05/01,41589.91,77
7VSHBE1,APT8YGY,Working Capital,2019/06/03,269900788,2019-11/30,2019/11-30,43179.06,56
L068CE9,HGSC4LN,Equipment Financing,2019-05-28,110310212,2022/05-12,2022-05/12,11318.43,4
J4KPINS,EDL29FK,Working Capital,2019/04-27,299222276,2023/02/09,2023/04/06,131257.8,45
9MFUV8N,6DCZH14,Business Line of Credit,2019-06/24,266989946,2019/10/28,2019-12/21,9384.75,13
RGZHF3W,7ENBDW2,Equipment Financing,2019-05/16,93906362,2021-05/05,2021/05/05,22002.43,79
HQSV8YT,7S4VZGX,Equipment Financing,2019/06-28,251848759,2020-11-08,2020-12/19,26862.54,0
TVU5AWR,LDUQILR,Trade Financing,2019/05-22,211557103,2021-05/11,2021/05/11,24274.77,7
DLXMD0H,DM48D4X,Business Line of Credit,2019/04-15,84902733,2023/01-19,2022/03/30,4641.79,9
HNK4BRA,0MKC7E1,Trade Financing,2019/06/22,107410148,2023/02/06,2023/06-01,2399.07,12
CQ94LT6,DWV7WNO,Equipment Financing,2019/05/23,146022951,2020-03-09,2020/05-17,26400.7,39
LSXHVVZ,KZFZC0H,Working Capital,2019-05-09,291689405,2021/12-04,2021-04/28,68832.16,41
2WXWLQ5,F4LU6FB,Term Loan,2019-04-11,215854139,2023/01-29,2022-03-26,134092.53,35
ZG4GDHN,9NHDS6D,Term Loan,2019/04/19,253645340,2019-10/16,2019/10-16,10001.25,0
L36RNVU,R4MFONT,Working Capital,2019-06/09,292340220,2021-04-18,2020/06-03,36850.97,1
W9J0RMW,H46MA5U,Term Loan,2019-04-18,279661352,2021-05-26,2021/04-07,10236.6,1
BXZ7CR9,ZA57WQB,Working Capital,2019/06/11,324283207,2020/12-02,2020/12-02,127779.88,79
ZXYPA5X,S24R75C,Equipment Financing,2019-06/17,226385732,2021-06-06,2021/06/06,32193.66,0
NHEHK2U,DWG7PAA,Working Capital,2019/05-15,193272108,2020-11-05,2020-11-05,3921.85,12
L3RP3UV,HYJV62Z,Equipment Financing,2019/04/04,76681739,2022/02/12,2022/03-19,8744.05,6
1KX6JMB,LEA356S,Business Line of Credit,2019/05/18,143875676,2021-11/13,2021-05-07,18960.17,77
6WVQ8RJ,8XV0ZB0,Trade Financing,2019/04-09,105699790,2020/12/20,2020/04-03,15774.42,1
9U52GLK,NZIELM5,Equipment Financing,2019-04-03,84309952,2020/03-28,2020/03/28,2809.87,11
UXYS2JL,R9KL65D,Equipment Financing,2019-05-17,260654243,2020/10-19,2020/05/11,8512.05,10
9PBOZ3B,H2P1PKX,Working Capital,2019-05/20,298346785,2021/05-09,2021/05-09,11211.52,0
II6HA60,9IXDCVG,Term Loan,2019/04/21,252880114,2020/10/12,2020/10/12,35726.55,23
J7VVGOS,8NB8DVT,Business Line of Credit,2019/04/26,281433890,2021/04-15,2021/04-15,215408.26,226
5CYH9J4,4C5NNSB,Business Line of Credit,2019/06-24,183986597,2021/06-13,2021-06/13,9138.77,6
6GVOHPA,PEJIL2C,Equipment Financing,2019/05-31,122185718,2021-05-20,2021-05/20,15677.96,16
VLFNRWT,F6HW87Y,Business Line of Credit,2019/06/27,276036686,2021-02-08,2020-12/18,12272.23,0
HGDB958,J2ECDH0,Working Capital,2019-04-04,248657694,2022-03-19,2022/03-19,13590.6,10
F2KJ0RD,8ED3H6O,Business Line of Credit,2019/04-04,222033978,2021-02/09,2020/09-25,12551.82,1
R72J7HI,Q5OQUXY,Equipment Financing,2019/04/21,237442952,2019-10/27,2020/04/15,38052.79,86
SVXN10E,5SHKXMG,Equipment Financing,2019/05/21,205500794,2020-05-15,2020/05/15,3865.66,1
SUAH8Y8,HH503DE,Equipment Financing,2019-04/01,250479975,2020/09-22,2020/09/22,6721.02,2
6WVQ8RJ,VC83JUC,Working Capital,2019-06/25,162749307,2021/12/23,2021-06/14,8899.03,19
EQKICOV,239TD98,Business Line of Credit,2019-05-09,185111636,2020/11/05,2021-04/28,52875.24,35
X46314K,JGP6B5X,Working Capital,2019/04/20,76972741,2024/07/15,2024/03/24,3367.48,17
BE68SO8,0NUCUW0,Business Line of Credit,2019/04/14,74301498,2022-03/29,2022/03-29,18792.46,42
II6HA60,9LXTK5K,Equipment Financing,2019-05-21,297270660,2023/06/28,2023/04-30,19766.83,25
8Z5NVDV,NM1LV4M,Business Line of Credit,2019-06/20,188536497,2021-06-09,2021-06-09,12833.24,21
WPSHP70,CNB1W81,Business Line of Credit,2019-06/19,263196151,2021-06-08,2021/06/08,34931.24,1
Z3OWF4V,DJBZTSH,Working Capital,2019-06/24,76426388,2020/09-19,2020-06/18,6532.09,8
ZG4GDHN,8HTXEJ4,Term Loan,2019/05/03,204041643,2021-04/22,2021-04/22,17048.16,70
P72MI9Z,SDCCJ39,Equipment Financing,2019/06-08,127988333,2021-05/28,2021-05-28,9643.01,4
R4VNR8Q,ISKRMC3,Equipment Financing,2019-06-15,109763030,2021/06-04,2021-06/04,4799.84,11
ZE6E1UH,CP4NCEP,Trade Financing,2019-04-24,160364091,2021-04/13,2021-04-13,21853.49,4
OQP1UHJ,X4GSMJZ,Equipment Financing,2019/04/16,222179893,2020-07/05,2020/04/10,52737.74,60
JCT07CV,39Y68QF,Business Line of Credit,2019/06/21,154687493,2022-06/05,2022-06/05,21372.24,61
PW82S44,9XAVDBU,Term Loan,2019-05-25,73105988,2021/08-26,2021-05-14,14616.9,57
F2KJ0RD,38AZ3P3,Business Line of Credit,2019/05/08,110978437,2021-04-10,2021/04-27,6044.77,5
4KO65QN,9HVYBJ0,Term Loan,2019-06/13,225425677,2021/03/18,2020/12/04,79606.42,334
NVF8DI1,90VFXZ6,Business Line of Credit,2019/04-11,105645072,2020/10/02,2020-10-02,5806.61,11
AXUKR44,ZIRC65N,Term Loan,2019/06-12,145469136,2020/12-21,2021/06-01,7987.23,18
I1WLILI,EDMMOTB,Trade Financing,2019-04/22,257701947,2020/04/16,2020/04/16,31023.02,0
K8LSI1P,HXQLUJH,Equipment Financing,2019/06/23,302760719,2021-06-12,2021/06-12,187786.58,39
A6RCSJT,6NZYGIP,Term Loan,2019/05/03,95996431,2020-04/27,2020-04-27,8672.87,1
HGDB958,BCATNBD,Trade Financing,2019-05/12,286346091,2021/05-01,2021-05/01,22972.71,2
2BNWACP,VVQSHTQ,Equipment Financing,2019-06/23,270005250,2020-06-17,2020/06-17,76560.4,41
S51149M,3LOH7ZD,Business Line of Credit,2019/04-11,145234512,2024-03/15,2024-03/15,17857.36,29
G69G0BQ,ICJJBSX,Equipment Financing,2019/05/06,417531293,2020-10/27,2020-10/27,329555.98,283
4A7UOZE,JX0V38F,Equipment Financing,2019/06/03,220819400,2020-11-24,2020-11-24,11532.22,1
D6TE7NM,MQEX5NB,Business Line of Credit,2019/04-30,188921183,2022-07/04,2022-04-14,26583.74,0
LSXHVVZ,B4O8LEC,Business Line of Credit,2019-05/29,216209807,2021/09-20,2021-05-18,6382.32,5
TH4XMHN,S631IKW,Working Capital,2019/04/07,143479384,2020/05/06,2020-04/01,15883.65,6
MO1MEYY,0TFCCEC,Working Capital,2019-05/19,297623012,2020/05-13,2020/05-13,25785.07,4
AU6SBUP,QC9IED0,Equipment Financing,2019-06/29,131040116,2020-06-23,2020-06/23,10855.59,26
UIMMSG6,KVRR9NY,Term Loan,2019-05/14,106733632,2021/11/02,2021/05/03,2719.27,10
I8XBBSK,HTK9VWK,Term Loan,2019-04/06,170802000,2022-03-21,2022-03/21,9072.95,10
CL2QGMB,R71IKGI,Term Loan,2019/04/29,151946609,2021-04-18,2021/04-18,19374.53,0
5OLO7FQ,QM9PNFO,Trade Financing,2019/06/27,342167764,2021/01/16,2020-06/21,188283.85,56
OS7EV7V,K8RLHO7,Working Capital,2019-06/01,193569742,2021/08-19,2020-11-22,17275.11,0
PTTVFTE,9RZJBNT,Term Loan,2019/06-01,121532416,2020/05-26,2020-05/26,3233.68,17
VWVA4XR,Z34E1YF,Business Line of Credit,2019-05-04,230450631,2022/03-18,2021-04/23,23702.95,3
SZQ0XNC,GOEUF0F,Trade Financing,2019/05-10,275681018,2021-03-03,2020-05-04,33506.45,2
35106QM,YXCYH2B,Term Loan,2019-06-17,76601320,2020/12-08,2020-12-08,8183.88,6
EK62FGJ,4C24GS9,Business Line of Credit,2019/06/24,194208950,2020/01-01,2020/06/18,20016.05,11
L6ASBWH,3XTHD2C,Business Line of Credit,2019/05/29,347717515,2020-05/23,2020-05/23,115988.39,46
2UA75N8,A96SZ01,Working Capital,2019/06/16,89792549,2021-05-21,2021/06-05,12098.95,6
I8J2NFV,P74W4KF,Trade Financing,2019-06-23,270844262,2020/12/14,2020/12-14,25743.28,9
KTRSGHG,NO51D7G,Working Capital,2019-04-27,184240290,2019/12/15,2020-04/21,12315.77,7
SYCXCLH,YI3CQ6O,Term Loan,2019/04-02,75597324,2021/03/22,2021/03-22,8422.17,6
S6DVL28,ML1M8BH,Equipment Financing,2019-05-08,173864561,2020-10/29,2020-10-29,33126.69,72
229SJKG,SN4E8T5,Equipment Financing,2019/05/05,234422674,2021-08-07,2021-04/24,35541.63,36
TVU5AWR,F4KLJ01,Equipment Financing,2019/04/20,90598399,2021/11/13,2022/04/04,16208.56,82
VVZX3QW,XYB0OO1,Trade Financing,2019/06/24,116572958,2022-06-08,2022/06/08,31231.73,37
ULOXTAN,6W4BH0V,Term Loan,2019-05/26,201350502,2020-05-20,2020-05-20,27139.08,51
2WXWLQ5,15675YS,Trade Financing,2019-05/24,390275831,2020-05/18,2020-05-18,232200.26,87
5D7EGY3,TC5D8MF,Equipment Financing,2019/04-28,269152972,2019-10/25,2019-10-25,13383.44,3
UOQSYVN,1Z3ZKWY,Equipment Financing,2019-05/13,127790187,2021/05/02,2021-05-02,12484.74,15
P8OCWB6,K31CLJ2,Business Line of Credit,2019/04-19,200581961,2020/12-29,2020-10/10,30675.04,54
OZPJ91Z,EATD6GB,Trade Financing,2019/06-14,245091063,2020/06-08,2020-06/08,28066.43,4
P08LD56,936VHH7,Equipment Financing,2019/05/17,178449282,2020/06-28,2020/05/11,47828.55,42
3P9E2WF,5BN63II,Trade Financing,2019-06/02,186287248,2020/11/23,2020-11-23,17470.94,20
6PKBMCT,XXFS9OC,Equipment Financing,2019/04/05,289553737,2020-03/30,2020-03/30,23406.76,1
